2693 924 781 [1,1,2,2,3,3][1,1,2,2,3,3][2,3,1,3,1,2][2,3,1,3,1,2][2,3,3,1,2,1][2,3,3,1,2,1]
2682 918 775 [1,1,2,2,2,2][1,1,2,2,2,2][2,2,1,1,3,3][2,2,1,1,3,3][3,3,3,3,1,1][3,3,3,3,1,1]
2235 829 697 [0,0,2,2,2,2][1,1,1,1,1,1][1,1,1,1,1,1][1,1,2,2,3,3][2,2,0,0,2,2][2,2,1,1,3,3]
2236 830 698 [0,0,2,2,2,2][1,1,1,1,1,1][1,1,1,1,1,1][1,1,2,2,3,3][2,2,0,0,3,3][2,2,1,1,2,2]
2496 886 744 [0,0,2,2,3,3][1,1,1,1,1,1][1,1,1,1,1,1][1,1,2,2,2,2][2,2,0,0,3,3][2,2,1,1,2,2]
2500 890 748 [0,0,2,2,3,3][1,1,1,1,1,1][1,1,1,1,1,1][1,1,3,3,3,3][2,2,2,2,1,1][2,2,3,3,0,0]
2573 893 751 [0,0,3,3,3,3][1,1,1,1,1,1][1,1,1,1,1,1][1,1,2,2,3,3][2,2,2,2,0,0][2,2,3,3,1,1]
2095 749 633 [0,0,1,1,1,1][1,1,0,0,1,1][1,1,2,2,2,2][1,1,2,2,2,2][2,2,1,1,2,2][2,2,1,1,2,2]
2096 750 634 [0,0,1,1,1,1][1,1,0,0,1,1][1,1,2,2,2,2][1,1,2,2,2,2][2,2,1,1,3,3][2,2,1,1,3,3]
2097 751 635 [0,0,1,1,1,1][1,1,0,0,1,1][1,1,2,2,3,3][1,1,2,2,3,3][2,2,1,1,3,3][2,2,1,1,3,3]
2099 753 637 [0,0,1,1,1,1][1,1,0,0,1,1][1,1,2,3,2,3][1,1,2,3,2,3][2,3,1,1,3,2][2,3,1,1,3,2]
2104 756 640 [0,0,1,1,1,1][1,1,0,0,1,1][1,1,3,3,3,3][1,1,3,3,3,3][2,2,1,1,2,2][2,2,1,1,2,2]
2625 904 761 [0,1,1,1,3,3][0,1,1,1,3,3][0,1,2,2,1,1][0,1,2,2,1,1][1,1,0,0,1,1][1,1,1,1,0,0]
2091 746 630 [0,0,1,1,1,1][1,1,0,0,1,1][1,1,1,1,1,1][1,1,1,1,1,1][2,2,2,2,1,1][2,2,2,2,1,1]
